objectid,filename,format,title,title_ar,script_en,script_ar,description,description_ar,creator,creator_ar,date,date_note,subject,subject_ar,material,material_ar,technique,technique_ar,content_en,content_ar,dimensions,language,type,inscription,piece_number,sort_order,source_file,additional_files,instagram,file_matched
wd-001,1WD_70x90.JPG,image/jpeg,On this earth is what deserves life — Kufic and Naskh,على هذه الأرض ما يستحق الحياة، الخط الكوفي والنسخ,Kufic and Naskh,كوفي وخط النسخ,Inlaid wood. The inscription “On this earth is what deserves life — Kufic and Naskh” is written in Kufic and Naskh. Dimensions: 70 × 90 cm.,خشب مطعم. نقش «على هذه الأرض ما يستحق الحياة، الخط الكوفي والنسخ» مكتوب بالكوفي وخط النسخ. المقاس: 70 × 90 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Kufic and Naskh,خشب؛ خط؛ خط عربي؛ كوفي وخط النسخ,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,70 × 90 cm,ara; eng,Image;StillImage,على هذه الارض ما يستحق الحياة، الخط الكوفي والنسخ,1,1,wood works/1WD_70x90.JPG,,no,yes
wd-005,5WD_40x60.JPG,image/jpeg,"Say: He is God, One (Al-Ikhlas)",قل هو الله أحد,Thuluth,خط الثلث,"Inlaid wood. The inscription “Say: He is God, One (Al-Ikhlas)” is written in Thuluth. Dimensions: 40 × 60 cm.",خشب مطعم. نقش «قل هو الله أحد» مكتوب بخط الثلث. المقاس: 40 × 60 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,40 × 60 cm,ara; eng,Image;StillImage,قل هو الله احد,5,2,wood works/5WD_40x60.JPG,,no,yes
wd-006,6WD_50x50.JPG,image/jpeg,And He taught you what you did not know,وعلّمك ما لم تكن تعلم,Thuluth,خط الثلث,Inlaid wood. The inscription “And He taught you what you did not know” is written in Thuluth. Dimensions: 50 × 50 cm.,خشب مطعم. نقش «وعلّمك ما لم تكن تعلم» مكتوب بخط الثلث. المقاس: 50 × 50 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,50 × 50 cm,ara; eng,Image;StillImage,وعلمك ما لم تعلم,6,3,wood works/6WD_50x50.JPG,,yes,yes
wd-007,7WD_50x70.JPG,image/jpeg,Might belongs to God; dominion belongs to God,العزة لله، الملك لله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Might belongs to God; dominion belongs to God” is written in Geometric Kufic. Dimensions: 50 × 70 cm.,خشب مطعم. نقش «العزة لله، الملك لله» مكتوب بالكوفي الهندسي. المقاس: 50 × 70 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,50 × 70 cm,ara; eng,Image;StillImage,"العزة لله, الملك لله",7,4,wood works/7WD_50x70.JPG,,no,yes
wd-008,8WD_40x60.JPG,image/jpeg,"Did We not expand for you your breast, and lift from you your burden (Ash-Sharh)",ألم نشرح لك صدرك ووضعنا عنك وزرك,Thuluth,خط الثلث,"Inlaid wood. The inscription “Did We not expand for you your breast, and lift from you your burden (Ash-Sharh)” is written in Thuluth. Dimensions: 40 × 60 cm.",خشب مطعم. نقش «ألم نشرح لك صدرك ووضعنا عنك وزرك» مكتوب بخط الثلث. المقاس: 40 × 60 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,40 × 60 cm,ara; eng,Image;StillImage,الم نشرح لك صدرك ووضعنا عنك وزرك,8,5,wood works/8WD_40x60.JPG,,no,yes
wd-009,9WD_52x78.JPG,image/jpeg,Patience is the key to relief,الصبر مفتاح الفرج,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Patience is the key to relief” is written in Geometric Kufic. Dimensions: 52 × 78 cm.,خشب مطعم. نقش «الصبر مفتاح الفرج» مكتوب بالكوفي الهندسي. المقاس: 52 × 78 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,52 × 78 cm,ara; eng,Image;StillImage,الصبر مفتاح الفرج,9,6,wood works/9WD_52x78.JPG,,yes,yes
wd-010,10WD_36x78.JPG,image/jpeg,This is from the grace of my Lord,هذا من فضل ربي,Foliated Kufic,كوفي مزهر,Inlaid wood. The inscription “This is from the grace of my Lord” is written in Foliated Kufic. Dimensions: 36 × 78 cm.,خشب مطعم. نقش «هذا من فضل ربي» مكتوب بالكوفي المزهر. المقاس: 36 × 78 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Foliated Kufic,خشب؛ خط؛ خط عربي؛ كوفي مزهر,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,36 × 78 cm,ara; eng,Image;StillImage,هذا من فضل ربي,10,7,wood works/10WD_36x78.JPG,,yes,yes
wd-012,12WD_40x60.JPG,image/jpeg,"Say: He is God, One (Al-Ikhlas)",قل هو الله أحد,Thuluth,خط الثلث,"Inlaid wood. The inscription “Say: He is God, One (Al-Ikhlas)” is written in Thuluth. Dimensions: 40 × 60 cm.",خشب مطعم. نقش «قل هو الله أحد» مكتوب بخط الثلث. المقاس: 40 × 60 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,40 × 60 cm,ara; eng,Image;StillImage,قل هو الله احد,12,8,wood works/12WD_40x60.JPG,,no,yes
wd-013,13WD_68x86.JPG,image/jpeg,Surah An-Nas,سورة الناس,Square Kufic,كوفي مربّع,Inlaid wood. The inscription “Surah An-Nas” is written in Square Kufic. Dimensions: 68 × 82 cm.,خشب مطعم. نقش «سورة الناس» مكتوب بالكوفي المربّع. المقاس: 68 × 82 سم.,Muhammed Saied Kalash,محمد سعيد كلش,,,Wood; Text; Calligraphy; Square Kufic,خشب؛ خط؛ خط عربي؛ كوفي مربّع,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,68 × 82 cm,ara; eng,Image;StillImage,سورة الناس,13,9,wood works/13WD_68x86.JPG,,no,yes
wd-016,16WD_46x32.JPG,image/jpeg,Say: Are those who know equal to those who do not know?,قل هل يستوي الذين يعلمون والذين لا يعلمون,Thuluth,خط الثلث,Inlaid wood. The inscription “Say: Are those who know equal to those who do not know?” is written in Thuluth. Dated 1993. Dimensions: 32 × 46 cm.,خشب مطعم. نقش «قل هل يستوي الذين يعلمون والذين لا يعلمون» مكتوب بخط الثلث. أُنجز عام ١٩٩٣. المقاس: 32 × 46 سم.,Muhammed Saied Kalash,محمد سعيد كلش,1993,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,32 × 46 cm,ara; eng,Image;StillImage,قل هل يستوي الذين يعلمون. والذين لا يعلمون,16,10,wood works/16WD_46x32.JPG,,no,yes
wd-017,17WD_34x39.JPG,image/jpeg,Dominion belongs to God,الملك لله,Geometric Kufic,كوفي هندسي,Inlaid wood. The inscription “Dominion belongs to God” is written in Geometric Kufic. Dated 2006. Dimensions: 34 × 39 cm.,خشب مطعم. نقش «الملك لله» مكتوب بالكوفي الهندسي. أُنجز عام ٢٠٠٦. المقاس: 34 × 39 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2006,,Wood; Text; Calligraphy; Geometric Kufic,خشب؛ خط؛ خط عربي؛ كوفي هندسي,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,34 × 39 cm,ara; eng,Image;StillImage,الملك لله,17,11,wood works/17WD_34x39.JPG,,yes,yes
wd-018,18WD_8polygone46.JPG,image/jpeg,God is Greatest,الله أكبر,Thuluth,خط الثلث,Inlaid wood. The inscription “God is Greatest” is written in Thuluth. Dated 1991. Dimensions: 8 polygone 46 cm.,خشب مطعم. نقش «الله أكبر» مكتوب بخط الثلث. أُنجز عام ١٩٩١. المقاس: 8 polygone 46 سم.,Muhammed Saied Kalash,محمد سعيد كلش,1991,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,8 polygone 46 cm,ara; eng,Image;StillImage,الله اكبر,18,12,wood works/18WD_8polygone46.JPG,,no,yes
wd-020,20W_79x41.JPG,image/jpeg,Resolves come according to the people of resolve (Al-Mutanabbi),على قدر أهل العزم تأتي العزائم وتأتي على قدر الكرام المكارم (المتنبي),Naskh,خط النسخ,Inlaid wood. The inscription “Resolves come according to the people of resolve (Al-Mutanabbi)” is written in Naskh. Dated 2009. Dimensions: 79 × 41 cm.,خشب مطعم. نقش «على قدر أهل العزم تأتي العزائم وتأتي على قدر الكرام المكارم (المتنبي)» مكتوب بخط النسخ. أُنجز عام ٢٠٠٩. المقاس: 79 × 41 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2009,,Wood; Text; Calligraphy; Naskh,خشب؛ خط؛ خط عربي؛ خط النسخ,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,79 × 41 cm,ara; eng,Image;StillImage,على قدر اهل العزائم تأتي العزائم وتأتي على قدر الكرم المكارم (المتنبي),20,13,wood works/20W_79x41.JPG,,no,yes
wd-023,23WD_71x100.JPG,image/jpeg,"And He taught you what you did not know, and the favor of God upon you has been great",وعلّمك ما لم تكن تعلم وكان فضل الله عليك عظيماً,Thuluth,خط الثلث,"Inlaid wood. The inscription “And He taught you what you did not know, and the favor of God upon you has been great” is written in Thuluth. Dated 2009. Dimensions: 71 × 100 cm.",خشب مطعم. نقش «وعلّمك ما لم تكن تعلم وكان فضل الله عليك عظيماً» مكتوب بخط الثلث. أُنجز عام ٢٠٠٩. المقاس: 71 × 100 سم.,Muhammed Saied Kalash,محمد سعيد كلش,2009,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,71 × 100 cm,ara; eng,Image;StillImage,وعلمك ما لم تكن تعلم وكان فضل الله عليك عظيما,23,14,wood works/23WD_71x100.JPG,,no,yes
wd-024,24WD_60D.JPG,image/jpeg,Glory be to God,سبحان الله,Thuluth,خط الثلث,Inlaid wood. The inscription “Glory be to God” is written in Thuluth. Dated 2009. Dimensions: 60 cm Ø.,خشب مطعم. نقش «سبحان الله» مكتوب بخط الثلث. أُنجز عام ٢٠٠٩. المقاس: 60 سم Ø.,Muhammed Saied Kalash,محمد سعيد كلش,2009,,Wood; Text; Calligraphy; Thuluth,خشب؛ خط؛ خط عربي؛ خط الثلث,Wood,خشب,Inlaid wood,خشب مطعم,Text,خط,60 cm Ø,ara; eng,Image;StillImage,سبحان الله,24,15,wood works/24WD_60D.JPG,,yes,yes
